Container stores 5000 plants:
tree: name = rrpkztbnaxly, length = 12, age = 1554, Fraction = 0.08333333333333333
tree: name = kcrje, length = 5, age = 97, Fraction = 0.2
bush: name = y, length = 1, month = Month.MARCH, Fraction = 0.0
tree: name = lbgwybubm, length = 9, age = 935, Fraction = 0.1111111111111111
flower: name = ps, length = 2, type = Type.HOME, Fraction = 0.0
tree: name = olhgczyiv, length = 9, age = 1684, Fraction = 0.2222222222222222
bush: name = zdxgeebtcjjidvqgsbyk, length = 20, month = Month.OCTOBER, Fraction = 0.15
tree: name = dkvexdup, length = 8, age = 725, Fraction = 0.25
bush: name = dotjabjqjjhwpsp, length = 15, month = Month.JULY, Fraction = 0.13333333333333333
flower: name = ifldm, length = 5, type = Type.WILD, Fraction = 0.2
bush: name = fhoowzbotu, length = 10, month = Month.DECEMBER, Fraction = 0.4
bush: name = emzjy, length = 5, month = Month.JULY, Fraction = 0.2
flower: name = m, length = 1, type = Type.GARDEN, Fraction = 0.0
flower: name = ekmhwdoffmqihlmwpr, length = 18, type = Type.GARDEN, Fraction = 0.16666666666666666
tree: name = npgxizvxmuxcivdftr, length = 18, age = 1059, Fraction = 0.16666666666666666
bush: name = serpbimyctj, length = 11, month = Month.MARCH, Fraction = 0.18181818181818182
tree: name = aditbw, length = 6, age = 258, Fraction = 0.3333333333333333
bush: name = mwkmypqooqbbcuieoiwh, length = 20, month = Month.FEBRUARY, Fraction = 0.35
flower: name = cskxxvpsuuafn, length = 13, type = Type.GARDEN, Fraction = 0.23076923076923078
flower: name = gtlhslrvdkwiogg, length = 15, type = Type.GARDEN, Fraction = 0.13333333333333333
bush: name = ctn, length = 3, month = Month.MARCH, Fraction = 0.0
flower: name = yiiwjy, length = 6, type = Type.HOME, Fraction = 0.3333333333333333
tree: name = gkxtmxe, length = 7, age = 135, Fraction = 0.14285714285714285
tree: name = amygtfhhpwvq, length = 12, age = 1379, Fraction = 0.08333333333333333
tree: name = qaxm, length = 4, age = 1822, Fraction = 0.25
tree: name = mfcvqamzairma, length = 13, age = 845, Fraction = 0.3076923076923077
bush: name = huoauxls, length = 8, month = Month.FEBRUARY, Fraction = 0.5
flower: name = ngaoundsjbtcxohua, length = 17, type = Type.WILD, Fraction = 0.35294117647058826
bush: name = hwlqow, length = 6, month = Month.JULY, Fraction = 0.16666666666666666
bush: name = nepdoldwsycvuyntaiql, length = 20, month = Month.DECEMBER, Fraction = 0.25
tree: name = duwwit, length = 6, age = 1278, Fraction = 0.3333333333333333
flower: name = zmf, length = 3, type = Type.WILD, Fraction = 0.0
tree: name = rzihaazfjjspixxi, length = 16, age = 1642, Fraction = 0.3125
flower: name = hltgmrsejxnmmnfpmdn, length = 19, type = Type.GARDEN, Fraction = 0.05263157894736842
bush: name = upejpxusdltkyejs, length = 16, month = Month.JULY, Fraction = 0.25
flower: name = nnlizo, length = 6, type = Type.WILD, Fraction = 0.3333333333333333
flower: name = kwwunzmqnlypk, length = 13, type = Type.HOME, Fraction = 0.07692307692307693
flower: name = zojzi, length = 5, type = Type.HOME, Fraction = 0.4
flower: name = cnvkaabkvpmfsu, length = 14, type = Type.GARDEN, Fraction = 0.21428571428571427
bush: name = kweqdlcykqw, length = 11, month = Month.MAY, Fraction = 0.09090909090909091
flower: name = b, length = 1, type = Type.WILD, Fraction = 0.0
tree: name = rvbsztcyrl, length = 10, age = 1514, Fraction = 0.0
flower: name = ykvgwbeqjlekpzajch, length = 18, type = Type.GARDEN, Fraction = 0.16666666666666666
tree: name = qopdkkwqskpepwupxfkg, length = 20, age = 905, Fraction = 0.15
flower: name = kzkzxwtasa, length = 10, type = Type.HOME, Fraction = 0.2
tree: name = dwxzugiwsie, length = 11, age = 1034, Fraction = 0.36363636363636365
bush: name = ukhxbbkpghs, length = 11, month = Month.NOVEMBER, Fraction = 0.09090909090909091
bush: name = ovdndi, length = 6, month = Month.SEPTEMBER, Fraction = 0.3333333333333333
flower: name = mlduyhtyzhyzzl, length = 14, type = Type.WILD, Fraction = 0.07142857142857142
flower: name = yiszkpyqeqgafy, length = 14, type = Type.WILD, Fraction = 0.21428571428571427
bush: name = vf, length = 2, month = Month.JUNE, Fraction = 0.0
tree: name = fjdcfujcvfqasx, length = 14, age = 1995, Fraction = 0.14285714285714285
flower: name = axwdzopwwcuc, length = 12, type = Type.GARDEN, Fraction = 0.25
bush: name = ibywyo, length = 6, month = Month.FEBRUARY, Fraction = 0.3333333333333333
bush: name = jzrflph, length = 7, month = Month.JANUARY, Fraction = 0.0
bush: name = orrmioqsbkjgzcpwypg, length = 19, month = Month.SEPTEMBER, Fraction = 0.15789473684210525
flower: name = m, length = 1, type = Type.WILD, Fraction = 0.0
bush: name = diyzvh, length = 6, month = Month.DECEMBER, Fraction = 0.16666666666666666
tree: name = ze, length = 2, age = 1775, Fraction = 0.5
flower: name = jexlvqynlfrhrs, length = 14, type = Type.WILD, Fraction = 0.07142857142857142
bush: name = xnyl, length = 4, month = Month.MAY, Fraction = 0.0
tree: name = kegonrdhwwr, length = 11, age = 643, Fraction = 0.18181818181818182
tree: name = wnnpfunvdouyaikftyxb, length = 20, age = 1553, Fraction = 0.25
tree: name = zrxujmrboxyqhpjpcf, length = 18, age = 500, Fraction = 0.1111111111111111
tree: name = bcbleijl, length = 8, age = 1215, Fraction = 0.25
tree: name = xbpcnjxfdpvwjopth, length = 17, age = 480, Fraction = 0.058823529411764705
bush: name = eghzbshwmjlswil, length = 15, month = Month.JUNE, Fraction = 0.13333333333333333
flower: name = lygqglfvffdbspa, length = 15, type = Type.WILD, Fraction = 0.06666666666666667
flower: name = iissjsfxl, length = 9, type = Type.WILD, Fraction = 0.2222222222222222
flower: name = c, length = 1, type = Type.GARDEN, Fraction = 0.0
tree: name = vyxd, length = 4, age = 1753, Fraction = 0.0
bush: name = pigtpyw, length = 7, month = Month.JUNE, Fraction = 0.14285714285714285
tree: name = r, length = 1, age = 1128, Fraction = 0.0
bush: name = zglntngbcwiqb, length = 13, month = Month.JULY, Fraction = 0.07692307692307693
flower: name = ickirfwwhdnsfvbjjj, length = 18, type = Type.GARDEN, Fraction = 0.1111111111111111
flower: name = dznrvnyobeepza, length = 14, type = Type.HOME, Fraction = 0.2857142857142857
tree: name = udcbiivjnrelze, length = 14, age = 107, Fraction = 0.35714285714285715
tree: name = zpvstveqk, length = 9, age = 66, Fraction = 0.1111111111111111
flower: name = pap, length = 3, type = Type.WILD, Fraction = 0.3333333333333333
bush: name = hytbxrld, length = 8, month = Month.JANUARY, Fraction = 0.0
flower: name = rtvdukuzkrpnsjqag, length = 17, type = Type.WILD, Fraction = 0.17647058823529413
bush: name = lgxoseco, length = 8, month = Month.DECEMBER, Fraction = 0.375
tree: name = ynrzin, length = 6, age = 823, Fraction = 0.16666666666666666
tree: name = hzji, length = 4, age = 631, Fraction = 0.25
tree: name = pvw, length = 3, age = 440, Fraction = 0.0
bush: name = qqdadxmyxvdyfphymvq, length = 19, month = Month.MARCH, Fraction = 0.05263157894736842
bush: name = ggazxpsqh, length = 9, month = Month.OCTOBER, Fraction = 0.1111111111111111
tree: name = rwdyoqgyhjkiocgt, length = 16, age = 374, Fraction = 0.1875
bush: name = bkrymekwrahrixgmisod, length = 20, month = Month.FEBRUARY, Fraction = 0.25
bush: name = yhbfrglyjg, length = 10, month = Month.SEPTEMBER, Fraction = 0.0
bush: name = iizodyyuqaupnqfr, length = 16, month = Month.SEPTEMBER, Fraction = 0.375
bush: name = koludyfbbwffo, length = 13, month = Month.MARCH, Fraction = 0.23076923076923078
tree: name = nfucw, length = 5, age = 191, Fraction = 0.2
bush: name = foveofddumcumcgrig, length = 18, month = Month.JANUARY, Fraction = 0.3333333333333333
tree: name = cvbicmub, length = 8, age = 524, Fraction = 0.25
tree: name = buubcrzcfizgwxxwejaa, length = 20, age = 262, Fraction = 0.3
tree: name = udedtiljru, length = 10, age = 0, Fraction = 0.4
bush: name = besw, length = 4, month = Month.FEBRUARY, Fraction = 0.25
tree: name = ubrybgnajkwpzsssw, length = 17, age = 332, Fraction = 0.11764705882352941
tree: name = em, length = 2, age = 1745, Fraction = 0.5
tree: name = jzjgkvxczvlcubir, length = 16, age = 1787, Fraction = 0.125
tree: name = zoafzgirzwq, length = 11, age = 532, Fraction = 0.2727272727272727
tree: name = xxtf, length = 4, age = 1840, Fraction = 0.0
bush: name = uhxrriirltqnqi, length = 14, month = Month.MAY, Fraction = 0.2857142857142857
flower: name = qmvn, length = 4, type = Type.GARDEN, Fraction = 0.0
tree: name = ddcje, length = 5, age = 1194, Fraction = 0.2
flower: name = qagjsq, length = 6, type = Type.HOME, Fraction = 0.16666666666666666
bush: name = ya, length = 2, month = Month.APRIL, Fraction = 0.5
bush: name = fpvem, length = 5, month = Month.JANUARY, Fraction = 0.2
tree: name = btthps, length = 6, age = 1123, Fraction = 0.0
bush: name = wgrmmyccqbpqwskq, length = 16, month = Month.APRIL, Fraction = 0.0
tree: name = pzdistdqbzbststtu, length = 17, age = 1017, Fraction = 0.11764705882352941
tree: name = wiiwpoxabnvigom, length = 15, age = 451, Fraction = 0.4
bush: name = uozhlceil, length = 9, month = Month.DECEMBER, Fraction = 0.4444444444444444
tree: name = ngncuogw, length = 8, age = 582, Fraction = 0.25
flower: name = bzzdushugnkj, length = 12, type = Type.GARDEN, Fraction = 0.16666666666666666
bush: name = qwhdp, length = 5, month = Month.SEPTEMBER, Fraction = 0.0
tree: name = dee, length = 3, age = 1573, Fraction = 0.6666666666666666
bush: name = jqb, length = 3, month = Month.MAY, Fraction = 0.0
flower: name = ryrddqw, length = 7, type = Type.GARDEN, Fraction = 0.0
tree: name = n, length = 1, age = 824, Fraction = 0.0
flower: name = imrholnfzajvat, length = 14, type = Type.GARDEN, Fraction = 0.2857142857142857
tree: name = smesacyoexvbcblzdmml, length = 20, age = 907, Fraction = 0.2
flower: name = knssgy, length = 6, type = Type.HOME, Fraction = 0.0
bush: name = anpor, length = 5, month = Month.SEPTEMBER, Fraction = 0.4
bush: name = wqps, length = 4, month = Month.OCTOBER, Fraction = 0.0
tree: name = xbwbhtnafclo, length = 12, age = 1350, Fraction = 0.16666666666666666
flower: name = rqxyaygrkuxf, length = 12, type = Type.HOME, Fraction = 0.16666666666666666
flower: name = jyvbmgmk, length = 8, type = Type.HOME, Fraction = 0.0
flower: name = doesiliwsde, length = 11, type = Type.HOME, Fraction = 0.45454545454545453
bush: name = uvkhhrabk, length = 9, month = Month.MAY, Fraction = 0.2222222222222222
tree: name = ttie, length = 4, age = 1100, Fraction = 0.5
flower: name = ftbmntsrtwagndpcbjun, length = 20, type = Type.WILD, Fraction = 0.1
flower: name = gojfu, length = 5, type = Type.GARDEN, Fraction = 0.4
flower: name = haiybvgkoazqbnrug, length = 17, type = Type.WILD, Fraction = 0.29411764705882354
bush: name = yb, length = 2, month = Month.DECEMBER, Fraction = 0.0
flower: name = pvhzmseiyu, length = 10, type = Type.HOME, Fraction = 0.3
flower: name = qfobwdamrrvkezf, length = 15, type = Type.WILD, Fraction = 0.2
flower: name = yucxhsawweffzswyx, length = 17, type = Type.GARDEN, Fraction = 0.17647058823529413
flower: name = auuhyikpzocosgahsd, length = 18, type = Type.WILD, Fraction = 0.3888888888888889
flower: name = mxmtpzbevmumtf, length = 14, type = Type.GARDEN, Fraction = 0.14285714285714285
tree: name = vxvazkcr, length = 8, age = 1818, Fraction = 0.125
tree: name = bkrkqhgvdksox, length = 13, age = 412, Fraction = 0.07692307692307693
tree: name = pvjygrenufgqjwaogxw, length = 19, age = 1009, Fraction = 0.21052631578947367
flower: name = poxxitcdc, length = 9, type = Type.GARDEN, Fraction = 0.2222222222222222
bush: name = xggerutncvvaptecnq, length = 18, month = Month.DECEMBER, Fraction = 0.2222222222222222
flower: name = ujyyjkjqukdotboauhel, length = 20, type = Type.HOME, Fraction = 0.35
tree: name = hwwiwwfwwrn, length = 11, age = 1832, Fraction = 0.09090909090909091
bush: name = axaelyercljxep, length = 14, month = Month.JULY, Fraction = 0.35714285714285715
bush: name = rqcareineejh, length = 12, month = Month.OCTOBER, Fraction = 0.4166666666666667
tree: name = kynzzksuvufbhmq, length = 15, age = 656, Fraction = 0.13333333333333333
bush: name = qjkhmlonlkudugdn, length = 16, month = Month.JUNE, Fraction = 0.1875
tree: name = lctyuwqycjkhrlawzhzc, length = 20, age = 1010, Fraction = 0.1
flower: name = anmzjaugpsbvjwdf, length = 16, type = Type.HOME, Fraction = 0.1875
bush: name = lywszhijbm, length = 10, month = Month.JUNE, Fraction = 0.1
tree: name = sun, length = 3, age = 1881, Fraction = 0.3333333333333333
flower: name = cqmjtgjvu, length = 9, type = Type.HOME, Fraction = 0.1111111111111111
tree: name = sdlmmtvdpppsouund, length = 17, age = 386, Fraction = 0.17647058823529413
bush: name = pilklszxona, length = 11, month = Month.MAY, Fraction = 0.2727272727272727
bush: name = hnkwuvtprfmr, length = 12, month = Month.JULY, Fraction = 0.08333333333333333
flower: name = sr, length = 2, type = Type.HOME, Fraction = 0.0
tree: name = q, length = 1, age = 731, Fraction = 0.0
flower: name = kyyj, length = 4, type = Type.GARDEN, Fraction = 0.0
flower: name = pkgxwycek, length = 9, type = Type.WILD, Fraction = 0.1111111111111111
tree: name = pnsawhvxhtzoutwntrcy, length = 20, age = 1443, Fraction = 0.15
bush: name = xfnrtalopantudimyj, length = 18, month = Month.OCTOBER, Fraction = 0.2777777777777778
flower: name = h, length = 1, type = Type.GARDEN, Fraction = 0.0
bush: name = edtxcvrajcpafmmoqe, length = 18, month = Month.FEBRUARY, Fraction = 0.2777777777777778
bush: name = lueyvpdwbsnshiug, length = 16, month = Month.OCTOBER, Fraction = 0.25
tree: name = gwedltbtrzbmrstne, length = 17, age = 1559, Fraction = 0.11764705882352941
flower: name = rfilgwnz, length = 8, type = Type.GARDEN, Fraction = 0.125
bush: name = rvsroyqhrllkfdfqmics, length = 20, month = Month.MAY, Fraction = 0.1
tree: name = wbfhwtwhbdoaudofhzs, length = 19, age = 1027, Fraction = 0.21052631578947367
bush: name = bhilejuqucyhpqwjsulb, length = 20, month = Month.FEBRUARY, Fraction = 0.25
flower: name = fthwbasramok, length = 12, type = Type.WILD, Fraction = 0.25
flower: name = nnqmjxwbr, length = 9, type = Type.HOME, Fraction = 0.0
bush: name = ocfhnteqf, length = 9, month = Month.MAY, Fraction = 0.2222222222222222
tree: name = rwvwzjpuowegvqe, length = 15, age = 638, Fraction = 0.26666666666666666
tree: name = xwunbdr, length = 7, age = 1788, Fraction = 0.14285714285714285
tree: name = aicsecotshfzpd, length = 14, age = 1333, Fraction = 0.2857142857142857
tree: name = eqymavhgy, length = 9, age = 1361, Fraction = 0.2222222222222222
flower: name = b, length = 1, type = Type.WILD, Fraction = 0.0
bush: name = tvjgqfzpbjdws, length = 13, month = Month.OCTOBER, Fraction = 0.0
tree: name = zfyjjytontlfosn, length = 15, age = 1940, Fraction = 0.13333333333333333
flower: name = dlq, length = 3, type = Type.HOME, Fraction = 0.0
tree: name = ztxovxhcobjvcyiop, length = 17, age = 434, Fraction = 0.23529411764705882
bush: name = cmrtlzhuykae, length = 12, month = Month.JUNE, Fraction = 0.25
flower: name = pkcfbedfdc, length = 10, type = Type.WILD, Fraction = 0.1
flower: name = erquqnhvflvj, length = 12, type = Type.HOME, Fraction = 0.16666666666666666
flower: name = usghb, length = 5, type = Type.WILD, Fraction = 0.2
flower: name = l, length = 1, type = Type.WILD, Fraction = 0.0
tree: name = vy, length = 2, age = 290, Fraction = 0.0
tree: name = mnglnvgzahsqaxf, length = 15, age = 265, Fraction = 0.13333333333333333
bush: name = qskhtvxqfpsqxuz, length = 15, month = Month.JULY, Fraction = 0.06666666666666667
bush: name = onsbwoc, length = 7, month = Month.AUGUST, Fraction = 0.2857142857142857
flower: name = fhqtzivitbboyojg, length = 16, type = Type.HOME, Fraction = 0.25
bush: name = hsmaghbkxef, length = 11, month = Month.OCTOBER, Fraction = 0.18181818181818182
bush: name = velzmqnk, length = 8, month = Month.FEBRUARY, Fraction = 0.125
bush: name = w, length = 1, month = Month.NOVEMBER, Fraction = 0.0
flower: name = rdckrzaygqevaqjpzn, length = 18, type = Type.HOME, Fraction = 0.16666666666666666
bush: name = elcbsrrnzfqfgqwry, length = 17, month = Month.JANUARY, Fraction = 0.058823529411764705
flower: name = rb, length = 2, type = Type.WILD, Fraction = 0.0
tree: name = xvpaxaso, length = 8, age = 1173, Fraction = 0.375
bush: name = ojwblljtecqnm, length = 13, month = Month.JUNE, Fraction = 0.15384615384615385
flower: name = dxryuqlh, length = 8, type = Type.HOME, Fraction = 0.125
flower: name = fn, length = 2, type = Type.WILD, Fraction = 0.0
bush: name = mzerdcehz, length = 9, month = Month.APRIL, Fraction = 0.2222222222222222
tree: name = hzqeh, length = 5, age = 178, Fraction = 0.2
bush: name = plykezhs, length = 8, month = Month.NOVEMBER, Fraction = 0.125
bush: name = splsvouaz, length = 9, month = Month.NOVEMBER, Fraction = 0.3333333333333333
flower: name = cbajzycxqaasgelkqjfn, length = 20, type = Type.GARDEN, Fraction = 0.2
tree: name = ntfuiqsziqzovystho, length = 18, age = 462, Fraction = 0.2777777777777778
flower: name = sdpkhfgvpmvwhzf, length = 15, type = Type.WILD, Fraction = 0.0
flower: name = weqxrw, length = 6, type = Type.HOME, Fraction = 0.16666666666666666
bush: name = asnudvmtmvwxiqwzlc, length = 18, month = Month.MAY, Fraction = 0.16666666666666666
tree: name = mmsbs, length = 5, age = 714, Fraction = 0.0
flower: name = jitzomo, length = 7, type = Type.HOME, Fraction = 0.42857142857142855
flower: name = cdziqtd, length = 7, type = Type.GARDEN, Fraction = 0.14285714285714285
tree: name = pzgkkqstvkwinbe, length = 15, age = 1874, Fraction = 0.13333333333333333
bush: name = sculmjokyfgnvjle, length = 16, month = Month.APRIL, Fraction = 0.1875
flower: name = fvsdn, length = 5, type = Type.GARDEN, Fraction = 0.0
tree: name = ujqbxjmrieemoobod, length = 17, age = 1032, Fraction = 0.4117647058823529
flower: name = vfqzxz, length = 6, type = Type.HOME, Fraction = 0.0
bush: name = jetiuwpoaatexhc, length = 15, month = Month.NOVEMBER, Fraction = 0.4666666666666667
flower: name = tubj, length = 4, type = Type.WILD, Fraction = 0.25
bush: name = iojx, length = 4, month = Month.MARCH, Fraction = 0.5
bush: name = pkvtzvoojstiphyjcdd, length = 19, month = Month.APRIL, Fraction = 0.15789473684210525
tree: name = eguaktidveqmjsi, length = 15, age = 858, Fraction = 0.4
bush: name = nueypgq, length = 7, month = Month.JANUARY, Fraction = 0.2857142857142857
flower: name = kpazprqqqzqtpis, length = 15, type = Type.WILD, Fraction = 0.13333333333333333
bush: name = kwmulnxoko, length = 10, month = Month.MAY, Fraction = 0.3
bush: name = bxayesrtqupwchnyv, length = 17, month = Month.APRIL, Fraction = 0.17647058823529413
flower: name = ellzcwsvjgvlbgq, length = 15, type = Type.WILD, Fraction = 0.06666666666666667
bush: name = xjsqhmaxmlafagrigxc, length = 19, month = Month.MARCH, Fraction = 0.21052631578947367
bush: name = gmsfxtlftctmimideppi, length = 20, month = Month.MARCH, Fraction = 0.2
flower: name = dunupbuw, length = 8, type = Type.GARDEN, Fraction = 0.375
flower: name = wfra, length = 4, type = Type.WILD, Fraction = 0.25
tree: name = gdlzgbezngha, length = 12, age = 1891, Fraction = 0.16666666666666666
flower: name = cegviqhtaacjnmaev, length = 17, type = Type.WILD, Fraction = 0.35294117647058826
bush: name = k, length = 1, month = Month.OCTOBER, Fraction = 0.0
bush: name = okijigwqlhuqkr, length = 14, month = Month.DECEMBER, Fraction = 0.2857142857142857
tree: name = cujkaxcguwq, length = 11, age = 1596, Fraction = 0.2727272727272727
bush: name = klkoxgnbhdyytvhsng, length = 18, month = Month.DECEMBER, Fraction = 0.05555555555555555
tree: name = xjvnapujpt, length = 10, age = 1504, Fraction = 0.2
tree: name = eeazgcxrvcuddwuvnv, length = 18, age = 404, Fraction = 0.2777777777777778
tree: name = mobmdr, length = 6, age = 657, Fraction = 0.16666666666666666
bush: name = zrjvianpjqndnw, length = 14, month = Month.DECEMBER, Fraction = 0.14285714285714285
flower: name = eomplttppoamls, length = 14, type = Type.HOME, Fraction = 0.2857142857142857
flower: name = cdpermxdjawui, length = 13, type = Type.HOME, Fraction = 0.3076923076923077
bush: name = ftqbqoztiuqgoufaf, length = 17, month = Month.NOVEMBER, Fraction = 0.35294117647058826
bush: name = ttwtollviihdfch, length = 15, month = Month.AUGUST, Fraction = 0.2
flower: name = ckedrbmtppmlojdkq, length = 17, type = Type.GARDEN, Fraction = 0.11764705882352941
bush: name = wl, length = 2, month = Month.JANUARY, Fraction = 0.0
flower: name = s, length = 1, type = Type.GARDEN, Fraction = 0.0
flower: name = dqbjadswmiischf, length = 15, type = Type.HOME, Fraction = 0.2
tree: name = zahpbkizixhrmj, length = 14, age = 554, Fraction = 0.21428571428571427
tree: name = naiaeagoyljqoor, length = 15, age = 243, Fraction = 0.5333333333333333
tree: name = r, length = 1, age = 1367, Fraction = 0.0
bush: name = zzgbthebhsclceddxikm, length = 20, month = Month.JUNE, Fraction = 0.15
bush: name = sqifbu, length = 6, month = Month.DECEMBER, Fraction = 0.3333333333333333
flower: name = eawcjrxhejdlk, length = 13, type = Type.WILD, Fraction = 0.23076923076923078
bush: name = ykoqpavnpcodw, length = 13, month = Month.MAY, Fraction = 0.23076923076923078
bush: name = m, length = 1, month = Month.AUGUST, Fraction = 0.0
tree: name = rgnfkblyw, length = 9, age = 790, Fraction = 0.0
flower: name = zxnfvlapjpide, length = 13, type = Type.HOME, Fraction = 0.23076923076923078
tree: name = ku, length = 2, age = 872, Fraction = 0.5
tree: name = fojylfxlhoydimvgfdha, length = 20, age = 1567, Fraction = 0.2
flower: name = fuhq, length = 4, type = Type.WILD, Fraction = 0.25
bush: name = jebxjsjgpugeq, length = 13, month = Month.MAY, Fraction = 0.23076923076923078
bush: name = bxy, length = 3, month = Month.JULY, Fraction = 0.0
tree: name = fgvdif, length = 6, age = 546, Fraction = 0.16666666666666666
bush: name = fselbhu, length = 7, month = Month.SEPTEMBER, Fraction = 0.2857142857142857
flower: name = ripdrmnmvudtzsj, length = 15, type = Type.HOME, Fraction = 0.13333333333333333
tree: name = en, length = 2, age = 1153, Fraction = 0.5
tree: name = rklnaclqrzwscutcl, length = 17, age = 1506, Fraction = 0.11764705882352941
tree: name = lwzepwkmmfqcjj, length = 14, age = 1146, Fraction = 0.07142857142857142
bush: name = wltmkmbgotcbxc, length = 14, month = Month.FEBRUARY, Fraction = 0.07142857142857142
flower: name = nbjtzkjmmnqiiqiswo, length = 18, type = Type.GARDEN, Fraction = 0.2222222222222222
bush: name = twocncre, length = 8, month = Month.JULY, Fraction = 0.25
tree: name = zzzhcqkjuzfaji, length = 14, age = 1344, Fraction = 0.21428571428571427
flower: name = zknwmlyissrjp, length = 13, type = Type.HOME, Fraction = 0.07692307692307693
bush: name = vitz, length = 4, month = Month.JULY, Fraction = 0.25
tree: name = lcukdctchfmcebccwgw, length = 19, age = 8, Fraction = 0.10526315789473684
tree: name = levgpwstuaj, length = 11, age = 1110, Fraction = 0.2727272727272727
tree: name = mossr, length = 5, age = 565, Fraction = 0.2
bush: name = iahq, length = 4, month = Month.FEBRUARY, Fraction = 0.5
tree: name = lsasangsait, length = 11, age = 1683, Fraction = 0.36363636363636365
tree: name = rkgcekibznimrxvorr, length = 18, age = 1810, Fraction = 0.2222222222222222
flower: name = dir, length = 3, type = Type.GARDEN, Fraction = 0.3333333333333333
flower: name = nfrs, length = 4, type = Type.WILD, Fraction = 0.0
flower: name = fppqhoeankycwovzllja, length = 20, type = Type.WILD, Fraction = 0.25
flower: name = dndxfqeedvvbwwxnjhwx, length = 20, type = Type.WILD, Fraction = 0.1
flower: name = gq, length = 2, type = Type.WILD, Fraction = 0.0
flower: name = ddbazzfurdegm, length = 13, type = Type.WILD, Fraction = 0.23076923076923078
bush: name = gxdyafivxpvyr, length = 13, month = Month.SEPTEMBER, Fraction = 0.15384615384615385
tree: name = maazo, length = 5, age = 1563, Fraction = 0.6
bush: name = gqqsgypw, length = 8, month = Month.APRIL, Fraction = 0.0
bush: name = matfsbontihbfyizhsck, length = 20, month = Month.JULY, Fraction = 0.2
tree: name = ldcknyjw, length = 8, age = 1350, Fraction = 0.0
tree: name = ezttsmpewlpbgbqrrcn, length = 19, age = 1203, Fraction = 0.10526315789473684
flower: name = uk, length = 2, type = Type.HOME, Fraction = 0.5
tree: name = aceckxtphsgw, length = 12, age = 1353, Fraction = 0.16666666666666666
tree: name = gv, length = 2, age = 1299, Fraction = 0.0
bush: name = mtcneodmypkeadthmhq, length = 19, month = Month.MAY, Fraction = 0.21052631578947367
flower: name = rmidvjvmhahn, length = 12, type = Type.HOME, Fraction = 0.16666666666666666
flower: name = uufop, length = 5, type = Type.HOME, Fraction = 0.6
tree: name = rbqkmkklobvgiod, length = 15, age = 1513, Fraction = 0.2
tree: name = ytolxpdf, length = 8, age = 1374, Fraction = 0.125
bush: name = esdymyptkd, length = 10, month = Month.NOVEMBER, Fraction = 0.1
tree: name = xajolgs, length = 7, age = 474, Fraction = 0.2857142857142857
bush: name = clacboszw, length = 9, month = Month.JULY, Fraction = 0.2222222222222222
flower: name = zdp, length = 3, type = Type.WILD, Fraction = 0.0
bush: name = wxbuzyryfrrdjbdjn, length = 17, month = Month.JUNE, Fraction = 0.058823529411764705
tree: name = rhagfy, length = 6, age = 613, Fraction = 0.16666666666666666
flower: name = pmlahhvitujtgd, length = 14, type = Type.WILD, Fraction = 0.21428571428571427
flower: name = b, length = 1, type = Type.GARDEN, Fraction = 0.0
bush: name = swkk, length = 4, month = Month.SEPTEMBER, Fraction = 0.0
bush: name = xkrjkkhlyte, length = 11, month = Month.JULY, Fraction = 0.09090909090909091
tree: name = hawtjogbko, length = 10, age = 452, Fraction = 0.3
tree: name = udgtty, length = 6, age = 187, Fraction = 0.16666666666666666
tree: name = s, length = 1, age = 1268, Fraction = 0.0
flower: name = vcqwwcwutadi, length = 12, type = Type.HOME, Fraction = 0.25
flower: name = ppd, length = 3, type = Type.HOME, Fraction = 0.0
flower: name = jrpqfymmhsanrhqtlmb, length = 19, type = Type.GARDEN, Fraction = 0.05263157894736842
bush: name = mcitfikfhqhorhahst, length = 18, month = Month.FEBRUARY, Fraction = 0.2222222222222222
tree: name = pwyrffgwkz, length = 10, age = 993, Fraction = 0.0
bush: name = yhqerlrtai, length = 10, month = Month.JANUARY, Fraction = 0.3
bush: name = fm, length = 2, month = Month.AUGUST, Fraction = 0.0
tree: name = utiojletbtdejoyzoo, length = 18, age = 261, Fraction = 0.4444444444444444
bush: name = bdewk, length = 5, month = Month.MAY, Fraction = 0.2
flower: name = b, length = 1, type = Type.GARDEN, Fraction = 0.0
bush: name = oghrtvs, length = 7, month = Month.DECEMBER, Fraction = 0.14285714285714285
tree: name = slzdujxfmgtsc, length = 13, age = 72, Fraction = 0.07692307692307693
tree: name = kenxcnbjeo, length = 10, age = 1551, Fraction = 0.3
bush: name = syegucukrmzbehpzf, length = 17, month = Month.NOVEMBER, Fraction = 0.23529411764705882
tree: name = xfruzcghjjndvjf, length = 15, age = 284, Fraction = 0.06666666666666667
tree: name = mjwifqhjtmxchfo, length = 15, age = 1613, Fraction = 0.13333333333333333
flower: name = ikupgcnymawpnsrtujir, length = 20, type = Type.WILD, Fraction = 0.25
bush: name = vyfkvjzelyhgzq, length = 14, month = Month.APRIL, Fraction = 0.07142857142857142
tree: name = njuounkmvjdq, length = 12, age = 903, Fraction = 0.25
bush: name = wkzd, length = 4, month = Month.JULY, Fraction = 0.0
tree: name = ylufwrgwjqji, length = 12, age = 391, Fraction = 0.16666666666666666
bush: name = aeccnhuviny, length = 11, month = Month.SEPTEMBER, Fraction = 0.36363636363636365
