Container stores 10000 plants:
bush: name = xfbfzzfpwiigklfku, length = 17, month = Month.JANUARY, Fraction = 0.17647058823529413
flower: name = ukniudiwkry, length = 11, type = Type.HOME, Fraction = 0.36363636363636365
flower: name = qrhasndadfyzm, length = 13, type = Type.HOME, Fraction = 0.15384615384615385
tree: name = xnwchsiuha, length = 10, age = 990, Fraction = 0.3
bush: name = xavtqjzvudkpentofsfp, length = 20, month = Month.MAY, Fraction = 0.2
bush: name = dmbtriqvnhnymyjncauf, length = 20, month = Month.APRIL, Fraction = 0.15
bush: name = ojumrdladkxrkbvllyg, length = 19, month = Month.DECEMBER, Fraction = 0.15789473684210525
flower: name = ctviijtqhpsihsqqcr, length = 18, type = Type.HOME, Fraction = 0.16666666666666666
flower: name = erwubnipagyrevdsi, length = 17, type = Type.HOME, Fraction = 0.35294117647058826
flower: name = f, length = 1, type = Type.WILD, Fraction = 0.0
flower: name = arydgeotirt, length = 11, type = Type.GARDEN, Fraction = 0.36363636363636365
bush: name = zqwmvkayhreuljmkb, length = 17, month = Month.DECEMBER, Fraction = 0.17647058823529413
flower: name = lxmkdjppjjgpzy, length = 14, type = Type.GARDEN, Fraction = 0.0
bush: name = udmkuqmtbqdg, length = 12, month = Month.JUNE, Fraction = 0.16666666666666666
bush: name = j, length = 1, month = Month.APRIL, Fraction = 0.0
tree: name = nhulmfboerrvvtvcbh, length = 18, age = 161, Fraction = 0.16666666666666666
flower: name = lxrjx, length = 5, type = Type.WILD, Fraction = 0.0
tree: name = voeokvyqi, length = 9, age = 967, Fraction = 0.4444444444444444
tree: name = aetjhevslzn, length = 11, age = 939, Fraction = 0.2727272727272727
tree: name = yidtskzdihdsb, length = 13, age = 1678, Fraction = 0.15384615384615385
flower: name = jwwixycmg, length = 9, type = Type.GARDEN, Fraction = 0.1111111111111111
flower: name = tasripuofsxhfwaxg, length = 17, type = Type.HOME, Fraction = 0.29411764705882354
bush: name = ma, length = 2, month = Month.FEBRUARY, Fraction = 0.5
flower: name = heullwikkgjnoppdarg, length = 19, type = Type.HOME, Fraction = 0.2631578947368421
flower: name = tkfcqtkwfvvcakfeujz, length = 19, type = Type.WILD, Fraction = 0.15789473684210525
flower: name = dvco, length = 4, type = Type.WILD, Fraction = 0.25
flower: name = ukfoicgjmrmgxt, length = 14, type = Type.GARDEN, Fraction = 0.21428571428571427
bush: name = mcoloufflr, length = 10, month = Month.MAY, Fraction = 0.3
flower: name = lesvbeamtyizhvmeaqf, length = 19, type = Type.WILD, Fraction = 0.3157894736842105
bush: name = shpbakp, length = 7, month = Month.MARCH, Fraction = 0.14285714285714285
tree: name = kbcwaldloglicxv, length = 15, age = 1165, Fraction = 0.2
bush: name = tfqqcgeiy, length = 9, month = Month.DECEMBER, Fraction = 0.2222222222222222
bush: name = tfoaqjwtzflbqwhmeqb, length = 19, month = Month.JUNE, Fraction = 0.15789473684210525
tree: name = lmrnwxgpwdfbgjvg, length = 16, age = 177, Fraction = 0.0
bush: name = xeugnibqoljiwl, length = 14, month = Month.APRIL, Fraction = 0.35714285714285715
bush: name = rqvofadenduso, length = 13, month = Month.JANUARY, Fraction = 0.38461538461538464
bush: name = cswvfkthqql, length = 11, month = Month.FEBRUARY, Fraction = 0.0
tree: name = jmdxwtkvlwjcjreunlya, length = 20, age = 783, Fraction = 0.15
bush: name = vhczgua, length = 7, month = Month.DECEMBER, Fraction = 0.2857142857142857
flower: name = dyooxylhllxmzjcvqhg, length = 19, type = Type.WILD, Fraction = 0.10526315789473684
flower: name = jghhstnpjaeyfgsjkxox, length = 20, type = Type.WILD, Fraction = 0.15
tree: name = vbggcbesewwohoyjvdat, length = 20, age = 1707, Fraction = 0.25
flower: name = coqhcsvxtrabssaaebva, length = 20, type = Type.GARDEN, Fraction = 0.3
flower: name = vqhdhcvvdkrmryhnep, length = 18, type = Type.GARDEN, Fraction = 0.05555555555555555
tree: name = nsmerxewbui, length = 11, age = 1581, Fraction = 0.36363636363636365
tree: name = vwotgv, length = 6, age = 1697, Fraction = 0.16666666666666666
bush: name = ebt, length = 3, month = Month.JUNE, Fraction = 0.3333333333333333
tree: name = yvxvqloidnfvgtkz, length = 16, age = 664, Fraction = 0.125
flower: name = ne, length = 2, type = Type.WILD, Fraction = 0.5
flower: name = zfzzgxicp, length = 9, type = Type.WILD, Fraction = 0.1111111111111111
tree: name = m, length = 1, age = 1182, Fraction = 0.0
bush: name = f, length = 1, month = Month.DECEMBER, Fraction = 0.0
bush: name = yyczjioi, length = 8, month = Month.JUNE, Fraction = 0.375
tree: name = ifmqiunun, length = 9, age = 248, Fraction = 0.4444444444444444
tree: name = spqtaipmujoshjdzfen, length = 19, age = 910, Fraction = 0.2631578947368421
tree: name = hyeuxeohttebwdgbjow, length = 19, age = 736, Fraction = 0.3157894736842105
bush: name = wjkofugo, length = 8, month = Month.APRIL, Fraction = 0.375
flower: name = gwkibi, length = 6, type = Type.WILD, Fraction = 0.3333333333333333
flower: name = ovyrausg, length = 8, type = Type.GARDEN, Fraction = 0.375
tree: name = chzsuzxsclsepiajw, length = 17, age = 1358, Fraction = 0.23529411764705882
flower: name = tedsmlvud, length = 9, type = Type.GARDEN, Fraction = 0.2222222222222222
tree: name = fqrjbjpaufyj, length = 12, age = 502, Fraction = 0.16666666666666666
bush: name = bzipxiatoffb, length = 12, month = Month.MARCH, Fraction = 0.3333333333333333
tree: name = pimmytmexakrc, length = 13, age = 1283, Fraction = 0.23076923076923078
flower: name = iuymnlzozor, length = 11, type = Type.GARDEN, Fraction = 0.36363636363636365
tree: name = zxbxj, length = 5, age = 933, Fraction = 0.0
bush: name = kubtzwbczitijxsqku, length = 18, month = Month.MARCH, Fraction = 0.2222222222222222
bush: name = bfyhfhkbrumlqf, length = 14, month = Month.OCTOBER, Fraction = 0.07142857142857142
bush: name = iftqcibfmhsefffg, length = 16, month = Month.DECEMBER, Fraction = 0.1875
flower: name = gs, length = 2, type = Type.WILD, Fraction = 0.0
bush: name = fbuukpzefbotksioian, length = 19, month = Month.JANUARY, Fraction = 0.42105263157894735
tree: name = jaeefvg, length = 7, age = 528, Fraction = 0.42857142857142855
bush: name = nslebrovglr, length = 11, month = Month.JUNE, Fraction = 0.18181818181818182
bush: name = wkhqjphlzmcxt, length = 13, month = Month.MAY, Fraction = 0.0
bush: name = lwfbiojrxyfchpqizjj, length = 19, month = Month.MAY, Fraction = 0.15789473684210525
tree: name = mhfchcstigcbebpiikhy, length = 20, age = 538, Fraction = 0.2
flower: name = fexnjhgletekjd, length = 14, type = Type.GARDEN, Fraction = 0.21428571428571427
tree: name = fqazahhsbmm, length = 11, age = 1535, Fraction = 0.18181818181818182
tree: name = nvgjpbjckveuokykp, length = 17, age = 1086, Fraction = 0.17647058823529413
tree: name = xwvmkoriekatwlnfmt, length = 18, age = 426, Fraction = 0.2222222222222222
flower: name = glkseidotybqqgwoi, length = 17, type = Type.GARDEN, Fraction = 0.29411764705882354
tree: name = wmr, length = 3, age = 1554, Fraction = 0.0
tree: name = jyo, length = 3, age = 453, Fraction = 0.3333333333333333
bush: name = bxpdxaumndupwdtui, length = 17, month = Month.JANUARY, Fraction = 0.29411764705882354
bush: name = tyadbeenapnl, length = 12, month = Month.FEBRUARY, Fraction = 0.3333333333333333
bush: name = tvqxrdrfkrclzkytvpb, length = 19, month = Month.MAY, Fraction = 0.0
flower: name = x, length = 1, type = Type.HOME, Fraction = 0.0
bush: name = rjnnkmbalawibps, length = 15, month = Month.AUGUST, Fraction = 0.2
tree: name = afe, length = 3, age = 937, Fraction = 0.6666666666666666
bush: name = olvw, length = 4, month = Month.APRIL, Fraction = 0.25
bush: name = pxkpawashkzlon, length = 14, month = Month.APRIL, Fraction = 0.21428571428571427
tree: name = qkldbjmlohpcqtpnqgd, length = 19, age = 147, Fraction = 0.05263157894736842
bush: name = rttpbslmiiec, length = 12, month = Month.JULY, Fraction = 0.25
flower: name = cgwukzahqnzsz, length = 13, type = Type.WILD, Fraction = 0.15384615384615385
bush: name = pkwsbwoq, length = 8, month = Month.MARCH, Fraction = 0.125
flower: name = bvijgoyqvkvfuohu, length = 16, type = Type.WILD, Fraction = 0.3125
tree: name = pndnqzlpatrycnqwwkju, length = 20, age = 1992, Fraction = 0.1
tree: name = pjniupwsimucobqtnc, length = 18, age = 157, Fraction = 0.2777777777777778
tree: name = gr, length = 2, age = 167, Fraction = 0.0
flower: name = tvmbururdhtjbhk, length = 15, type = Type.WILD, Fraction = 0.13333333333333333
bush: name = qpocd, length = 5, month = Month.DECEMBER, Fraction = 0.2
flower: name = qgwmdy, length = 6, type = Type.GARDEN, Fraction = 0.0
flower: name = fkazmuyilcupktth, length = 16, type = Type.HOME, Fraction = 0.25
tree: name = eumrhizigqbwvrafvhi, length = 19, age = 582, Fraction = 0.3157894736842105
flower: name = ncxodap, length = 7, type = Type.HOME, Fraction = 0.2857142857142857
tree: name = ataqjvhwdmmjhlhu, length = 16, age = 572, Fraction = 0.1875
tree: name = ze, length = 2, age = 755, Fraction = 0.5
flower: name = eamzrhfrmbhgfhsio, length = 17, type = Type.HOME, Fraction = 0.23529411764705882
tree: name = pkhamsi, length = 7, age = 1783, Fraction = 0.2857142857142857
flower: name = osbph, length = 5, type = Type.WILD, Fraction = 0.2
flower: name = auxzowrghrf, length = 11, type = Type.WILD, Fraction = 0.2727272727272727
flower: name = jsxclhyprl, length = 10, type = Type.HOME, Fraction = 0.0
bush: name = mtjbwpzahbwyjit, length = 15, month = Month.JUNE, Fraction = 0.13333333333333333
bush: name = xprksdkeppovqiyehzfq, length = 20, month = Month.NOVEMBER, Fraction = 0.2
flower: name = fuorkcgitk, length = 10, type = Type.HOME, Fraction = 0.3
flower: name = rtgqrynnbwflbsokal, length = 18, type = Type.GARDEN, Fraction = 0.1111111111111111
bush: name = bjyoieslwny, length = 11, month = Month.NOVEMBER, Fraction = 0.2727272727272727
flower: name = yoasbuenwxsztzgjp, length = 17, type = Type.GARDEN, Fraction = 0.23529411764705882
bush: name = ntzp, length = 4, month = Month.MAY, Fraction = 0.0
tree: name = bgxmpmal, length = 8, age = 551, Fraction = 0.125
tree: name = toygbzgbfusd, length = 12, age = 1740, Fraction = 0.16666666666666666
bush: name = nlpm, length = 4, month = Month.SEPTEMBER, Fraction = 0.0
flower: name = oqfhnwwiqsdsetbo, length = 16, type = Type.WILD, Fraction = 0.25
flower: name = shcdumz, length = 7, type = Type.HOME, Fraction = 0.14285714285714285
flower: name = cincqzvr, length = 8, type = Type.GARDEN, Fraction = 0.125
bush: name = wnogyrcehxthg, length = 13, month = Month.NOVEMBER, Fraction = 0.15384615384615385
flower: name = patbmkzoa, length = 9, type = Type.HOME, Fraction = 0.3333333333333333
bush: name = lq, length = 2, month = Month.OCTOBER, Fraction = 0.0
tree: name = py, length = 2, age = 67, Fraction = 0.0
flower: name = xrufpvvkqkiecaumvhd, length = 19, type = Type.WILD, Fraction = 0.2631578947368421
tree: name = qbyifogy, length = 8, age = 1175, Fraction = 0.25
bush: name = nwjwydpmxmiip, length = 13, month = Month.OCTOBER, Fraction = 0.15384615384615385
tree: name = hcxzvciehumlubcu, length = 16, age = 1697, Fraction = 0.3125
tree: name = bgwzzbqh, length = 8, age = 450, Fraction = 0.0
bush: name = zbkdw, length = 5, month = Month.NOVEMBER, Fraction = 0.0
tree: name = mwpeurjknyawdf, length = 14, age = 616, Fraction = 0.21428571428571427
flower: name = cciosz, length = 6, type = Type.WILD, Fraction = 0.3333333333333333
tree: name = zfffbuimpqyvloeot, length = 17, age = 1092, Fraction = 0.29411764705882354
tree: name = gerzr, length = 5, age = 292, Fraction = 0.2
bush: name = yxyiasfm, length = 8, month = Month.OCTOBER, Fraction = 0.25
flower: name = x, length = 1, type = Type.WILD, Fraction = 0.0
flower: name = gpdrrd, length = 6, type = Type.GARDEN, Fraction = 0.0
flower: name = qvg, length = 3, type = Type.WILD, Fraction = 0.0
flower: name = beequycstz, length = 10, type = Type.HOME, Fraction = 0.3
bush: name = ypyzvabye, length = 9, month = Month.MAY, Fraction = 0.2222222222222222
flower: name = jgxllhcxqluewmzae, length = 17, type = Type.HOME, Fraction = 0.23529411764705882
bush: name = fvpmqnvci, length = 9, month = Month.FEBRUARY, Fraction = 0.1111111111111111
flower: name = aas, length = 3, type = Type.GARDEN, Fraction = 0.6666666666666666
flower: name = s, length = 1, type = Type.HOME, Fraction = 0.0
tree: name = bblkerv, length = 7, age = 321, Fraction = 0.14285714285714285
bush: name = gabbng, length = 6, month = Month.JANUARY, Fraction = 0.16666666666666666
tree: name = atgh, length = 4, age = 1666, Fraction = 0.25
bush: name = ijanehevgysdgvze, length = 16, month = Month.NOVEMBER, Fraction = 0.3125
tree: name = iwpaykayb, length = 9, age = 1831, Fraction = 0.3333333333333333
tree: name = aftimonpfix, length = 11, age = 202, Fraction = 0.36363636363636365
bush: name = aqdmqjejxnsvw, length = 13, month = Month.JANUARY, Fraction = 0.15384615384615385
tree: name = dsyvd, length = 5, age = 434, Fraction = 0.0
flower: name = mcmnmntlawhczftreo, length = 18, type = Type.HOME, Fraction = 0.16666666666666666
bush: name = bc, length = 2, month = Month.APRIL, Fraction = 0.0
bush: name = onnewqdbrcakc, length = 13, month = Month.MAY, Fraction = 0.23076923076923078
flower: name = erlyzqmown, length = 10, type = Type.GARDEN, Fraction = 0.2
tree: name = v, length = 1, age = 427, Fraction = 0.0
bush: name = jrvdfmd, length = 7, month = Month.JUNE, Fraction = 0.0
tree: name = lcmfaejbuzcz, length = 12, age = 180, Fraction = 0.25
bush: name = mmftvrfmvjicizamhm, length = 18, month = Month.SEPTEMBER, Fraction = 0.16666666666666666
flower: name = ngawjhhcwislrctctk, length = 18, type = Type.HOME, Fraction = 0.1111111111111111
flower: name = oqbc, length = 4, type = Type.WILD, Fraction = 0.25
tree: name = fjgiymsoriswpzqeci, length = 18, age = 1987, Fraction = 0.2777777777777778
tree: name = zvyliigkit, length = 10, age = 1650, Fraction = 0.3
tree: name = reswejaeasbrhbdwy, length = 17, age = 593, Fraction = 0.29411764705882354
bush: name = lpcstoq, length = 7, month = Month.SEPTEMBER, Fraction = 0.14285714285714285
bush: name = o, length = 1, month = Month.MAY, Fraction = 1.0
bush: name = dxrenrcuzqjluhxoqq, length = 18, month = Month.NOVEMBER, Fraction = 0.2222222222222222
bush: name = hfplrxlvmzmx, length = 12, month = Month.OCTOBER, Fraction = 0.0
flower: name = bijdlrpeoxnfqqvd, length = 16, type = Type.HOME, Fraction = 0.1875
bush: name = kxsymdxwjymkne, length = 14, month = Month.SEPTEMBER, Fraction = 0.07142857142857142
flower: name = ij, length = 2, type = Type.HOME, Fraction = 0.5
bush: name = igcwbhdynozz, length = 12, month = Month.MARCH, Fraction = 0.16666666666666666
tree: name = lhrqtgd, length = 7, age = 977, Fraction = 0.0
bush: name = hucra, length = 5, month = Month.MAY, Fraction = 0.4
tree: name = rcgsltvighlfbao, length = 15, age = 931, Fraction = 0.2
flower: name = tulkseta, length = 8, type = Type.WILD, Fraction = 0.375
tree: name = coojr, length = 5, age = 434, Fraction = 0.4
tree: name = qup, length = 3, age = 1526, Fraction = 0.3333333333333333
tree: name = docgctfnpvznhae, length = 15, age = 1542, Fraction = 0.2
flower: name = kunrtryithyfnvfqoi, length = 18, type = Type.GARDEN, Fraction = 0.2222222222222222
tree: name = qbpzoisorfgh, length = 12, age = 1983, Fraction = 0.25
tree: name = kryrzmsfrqd, length = 11, age = 1157, Fraction = 0.0
bush: name = aw, length = 2, month = Month.APRIL, Fraction = 0.5
tree: name = hdqcrvwdh, length = 9, age = 34, Fraction = 0.0
flower: name = quxoweoorvvvjqbtu, length = 17, type = Type.HOME, Fraction = 0.35294117647058826
tree: name = lvbdzqgudguzp, length = 13, age = 1878, Fraction = 0.15384615384615385
tree: name = lfctjsvtwtxmgfx, length = 15, age = 1992, Fraction = 0.0
tree: name = uxbkbcarp, length = 9, age = 1885, Fraction = 0.2222222222222222
flower: name = adwpxumybda, length = 11, type = Type.GARDEN, Fraction = 0.2727272727272727
tree: name = spdg, length = 4, age = 539, Fraction = 0.0
tree: name = nrzqewilayjwirnms, length = 17, age = 735, Fraction = 0.23529411764705882
flower: name = mkwkkmvavseseedmkp, length = 18, type = Type.WILD, Fraction = 0.2222222222222222
flower: name = wvszcnbgwvqpen, length = 14, type = Type.HOME, Fraction = 0.07142857142857142
flower: name = wcf, length = 3, type = Type.GARDEN, Fraction = 0.0
tree: name = mzodgoccmk, length = 10, age = 697, Fraction = 0.2
tree: name = cbwqolqnchpzscybf, length = 17, age = 1207, Fraction = 0.058823529411764705
tree: name = hccqmcjikssfwy, length = 14, age = 870, Fraction = 0.07142857142857142
bush: name = cgfuzawjqmoha, length = 13, month = Month.FEBRUARY, Fraction = 0.3076923076923077
bush: name = jin, length = 3, month = Month.OCTOBER, Fraction = 0.3333333333333333
tree: name = hn, length = 2, age = 1683, Fraction = 0.0
bush: name = eplfhzjeyvhqhpzunoz, length = 19, month = Month.MARCH, Fraction = 0.21052631578947367
bush: name = hjhwxpxtphzfnt, length = 14, month = Month.NOVEMBER, Fraction = 0.0
tree: name = kkunzhyhspcca, length = 13, age = 786, Fraction = 0.15384615384615385
bush: name = iygwlavyrtq, length = 11, month = Month.JULY, Fraction = 0.18181818181818182
bush: name = vyxipyyovhejogalep, length = 18, month = Month.MAY, Fraction = 0.3333333333333333
bush: name = kiwjhei, length = 7, month = Month.JUNE, Fraction = 0.42857142857142855
flower: name = yotaoybcgajum, length = 13, type = Type.GARDEN, Fraction = 0.38461538461538464
bush: name = pguchbchmgoyxe, length = 14, month = Month.JUNE, Fraction = 0.21428571428571427
bush: name = cudobfswnkzg, length = 12, month = Month.OCTOBER, Fraction = 0.16666666666666666
bush: name = xiuawulwmou, length = 11, month = Month.JUNE, Fraction = 0.5454545454545454
flower: name = uuyfozrhxpfeshfqk, length = 17, type = Type.WILD, Fraction = 0.23529411764705882
flower: name = soqibvdbaehcryxxuae, length = 19, type = Type.GARDEN, Fraction = 0.3684210526315789
flower: name = bptpmx, length = 6, type = Type.HOME, Fraction = 0.0
flower: name = dl, length = 2, type = Type.WILD, Fraction = 0.0
bush: name = kwnyjyathcha, length = 12, month = Month.APRIL, Fraction = 0.16666666666666666
tree: name = aiylvbcpmdhydvnng, length = 17, age = 1552, Fraction = 0.11764705882352941
tree: name = wczrsjkjrhsqpdh, length = 15, age = 1587, Fraction = 0.0
flower: name = deipduvslmfrxstuxm, length = 18, type = Type.WILD, Fraction = 0.2222222222222222
bush: name = lnzjfuftjpzo, length = 12, month = Month.NOVEMBER, Fraction = 0.16666666666666666
flower: name = vfbkxvwqeh, length = 10, type = Type.WILD, Fraction = 0.1
bush: name = zuauujgkueewmxsif, length = 17, month = Month.JUNE, Fraction = 0.47058823529411764
flower: name = bmfhi, length = 5, type = Type.WILD, Fraction = 0.2
bush: name = xlfygrslc, length = 9, month = Month.OCTOBER, Fraction = 0.0
flower: name = jupwsokwfdeumwesktbk, length = 20, type = Type.WILD, Fraction = 0.25
tree: name = flvsbogthyexrlaulk, length = 18, age = 825, Fraction = 0.2222222222222222
bush: name = ywhkenrdcatesx, length = 14, month = Month.APRIL, Fraction = 0.21428571428571427
bush: name = e, length = 1, month = Month.SEPTEMBER, Fraction = 1.0
flower: name = qalltqlgthivorfj, length = 16, type = Type.WILD, Fraction = 0.1875
flower: name = rsrrzcphlbjfkyyvr, length = 17, type = Type.WILD, Fraction = 0.0
flower: name = umpcenpya, length = 9, type = Type.HOME, Fraction = 0.3333333333333333
flower: name = qyluymyw, length = 8, type = Type.WILD, Fraction = 0.125
flower: name = ezxgpoaqaxhwchyms, length = 17, type = Type.GARDEN, Fraction = 0.23529411764705882
bush: name = tkscisecfvey, length = 12, month = Month.DECEMBER, Fraction = 0.25
tree: name = yhejblv, length = 7, age = 1563, Fraction = 0.14285714285714285
tree: name = yyntlpwwgcsrqcyqxa, length = 18, age = 750, Fraction = 0.05555555555555555
bush: name = kgbjjzgjtzw, length = 11, month = Month.NOVEMBER, Fraction = 0.0
tree: name = znlocuqoddifjtnz, length = 16, age = 1687, Fraction = 0.25
bush: name = o, length = 1, month = Month.JANUARY, Fraction = 1.0
tree: name = jd, length = 2, age = 156, Fraction = 0.0
flower: name = ensjfopvharufqw, length = 15, type = Type.HOME, Fraction = 0.26666666666666666
flower: name = yisvwwrfni, length = 10, type = Type.HOME, Fraction = 0.2
tree: name = gognsswyseqyhrz, length = 15, age = 1185, Fraction = 0.13333333333333333
bush: name = skwpjzliwwbebashgw, length = 18, month = Month.MAY, Fraction = 0.16666666666666666
bush: name = wdlagnjqedjezdbsmdk, length = 19, month = Month.JUNE, Fraction = 0.15789473684210525
bush: name = ffnqcfcut, length = 9, month = Month.JULY, Fraction = 0.1111111111111111
bush: name = b, length = 1, month = Month.JANUARY, Fraction = 0.0
tree: name = ilosvscxtkxitarmyf, length = 18, age = 1569, Fraction = 0.2222222222222222
bush: name = vgddvpzgkzvkgdnvr, length = 17, month = Month.JULY, Fraction = 0.0
bush: name = xjpadkqpcjvgygm, length = 15, month = Month.MARCH, Fraction = 0.06666666666666667
flower: name = qngdlwbpa, length = 9, type = Type.WILD, Fraction = 0.1111111111111111
flower: name = qpukscifrcjla, length = 13, type = Type.GARDEN, Fraction = 0.23076923076923078
flower: name = pwfepfvbmjs, length = 11, type = Type.GARDEN, Fraction = 0.09090909090909091
flower: name = hr, length = 2, type = Type.WILD, Fraction = 0.0
bush: name = xuyfwbwoyy, length = 10, month = Month.DECEMBER, Fraction = 0.2
bush: name = yjsyxkvpfwybit, length = 14, month = Month.DECEMBER, Fraction = 0.07142857142857142
flower: name = wywijcl, length = 7, type = Type.HOME, Fraction = 0.14285714285714285
bush: name = ijiftoexvnhdcpiltk, length = 18, month = Month.MAY, Fraction = 0.2777777777777778
tree: name = wzfkwbj, length = 7, age = 1603, Fraction = 0.0
tree: name = jnnkuezozsjgecaahjh, length = 19, age = 919, Fraction = 0.3157894736842105
flower: name = nnxowyxfzvpzrptktbi, length = 19, type = Type.GARDEN, Fraction = 0.10526315789473684
flower: name = mmfxwkbodqt, length = 11, type = Type.GARDEN, Fraction = 0.09090909090909091
bush: name = upyfjincs, length = 9, month = Month.OCTOBER, Fraction = 0.2222222222222222
bush: name = rs, length = 2, month = Month.AUGUST, Fraction = 0.0
bush: name = zvmyitkfhmuf, length = 12, month = Month.APRIL, Fraction = 0.16666666666666666
bush: name = cikovagfcskodcyhb, length = 17, month = Month.OCTOBER, Fraction = 0.23529411764705882
tree: name = vbgxfjqwuzxmrrkfvf, length = 18, age = 201, Fraction = 0.05555555555555555
bush: name = c, length = 1, month = Month.APRIL, Fraction = 0.0
bush: name = zoldffqnlfbarx, length = 14, month = Month.JUNE, Fraction = 0.14285714285714285
flower: name = mvnohumitshjcyowbk, length = 18, type = Type.WILD, Fraction = 0.2222222222222222
bush: name = buwaugdpfkfitzzuymb, length = 19, month = Month.FEBRUARY, Fraction = 0.2631578947368421
tree: name = yybkiygcwtqfqk, length = 14, age = 1344, Fraction = 0.07142857142857142
flower: name = q, length = 1, type = Type.WILD, Fraction = 0.0
bush: name = k, length = 1, month = Month.NOVEMBER, Fraction = 0.0
flower: name = wkaygmpxaa, length = 10, type = Type.GARDEN, Fraction = 0.3
flower: name = nufpzxd, length = 7, type = Type.HOME, Fraction = 0.14285714285714285
bush: name = ubcfyridoiffzuxtsnbp, length = 20, month = Month.AUGUST, Fraction = 0.25
flower: name = coxbmhclpqdqpowlzu, length = 18, type = Type.WILD, Fraction = 0.16666666666666666
tree: name = fxmzsmolylzacqb, length = 15, age = 925, Fraction = 0.13333333333333333
bush: name = jbd, length = 3, month = Month.JANUARY, Fraction = 0.0
tree: name = drdkgiz, length = 7, age = 1603, Fraction = 0.14285714285714285
flower: name = ayugxuhowz, length = 10, type = Type.HOME, Fraction = 0.4
tree: name = y, length = 1, age = 1823, Fraction = 0.0
tree: name = vhwatz, length = 6, age = 963, Fraction = 0.16666666666666666
flower: name = ofkbbyatbcxkiz, length = 14, type = Type.WILD, Fraction = 0.21428571428571427
tree: name = yuughstohnbaetzeiusw, length = 20, age = 1624, Fraction = 0.4
tree: name = evgfvjsiaa, length = 10, age = 605, Fraction = 0.4
bush: name = nixqqhvonafzskzfeom, length = 19, month = Month.APRIL, Fraction = 0.2631578947368421
bush: name = ujvyfh, length = 6, month = Month.JANUARY, Fraction = 0.16666666666666666
flower: name = xwaowxax, length = 8, type = Type.WILD, Fraction = 0.375
bush: name = eytvlchmphz, length = 11, month = Month.APRIL, Fraction = 0.09090909090909091
bush: name = wyliwvyvcqikcvwfyq, length = 18, month = Month.JANUARY, Fraction = 0.1111111111111111
bush: name = domuhrmls, length = 9, month = Month.JUNE, Fraction = 0.2222222222222222
tree: name = vpommkxptaypts, length = 14, age = 637, Fraction = 0.14285714285714285
tree: name = yiguctpkfcfvpphdzhw, length = 19, age = 167, Fraction = 0.10526315789473684
bush: name = zijxguslc, length = 9, month = Month.NOVEMBER, Fraction = 0.2222222222222222
bush: name = szzcacs, length = 7, month = Month.FEBRUARY, Fraction = 0.14285714285714285
bush: name = kiaivwqeknr, length = 11, month = Month.JUNE, Fraction = 0.36363636363636365
flower: name = yy, length = 2, type = Type.HOME, Fraction = 0.0
tree: name = qqmrnakmgjv, length = 11, age = 495, Fraction = 0.09090909090909091
flower: name = rhclcplc, length = 8, type = Type.GARDEN, Fraction = 0.0
tree: name = dsfnddfsdyioumll, length = 16, age = 1475, Fraction = 0.1875
flower: name = rksecvxfwmyzqibriwk, length = 19, type = Type.HOME, Fraction = 0.15789473684210525
flower: name = ucsjh, length = 5, type = Type.GARDEN, Fraction = 0.2
tree: name = ulzdlcueqrzhu, length = 13, age = 968, Fraction = 0.3076923076923077
flower: name = ngbuuznrtx, length = 10, type = Type.WILD, Fraction = 0.2
flower: name = rajlx, length = 5, type = Type.GARDEN, Fraction = 0.2
bush: name = ssvalwhjkijlfhljolc, length = 19, month = Month.SEPTEMBER, Fraction = 0.15789473684210525
bush: name = rnlsspqrmtgt, length = 12, month = Month.JULY, Fraction = 0.0
tree: name = fkbubepar, length = 9, age = 1920, Fraction = 0.3333333333333333
flower: name = drqgudkpio, length = 10, type = Type.GARDEN, Fraction = 0.3
flower: name = lqplltnhtpllopbrsbxc, length = 20, type = Type.GARDEN, Fraction = 0.05
tree: name = duzzisgmvoledgmxcgb, length = 19, age = 1025, Fraction = 0.21052631578947367
bush: name = rzbetmpuv, length = 9, month = Month.DECEMBER, Fraction = 0.2222222222222222
tree: name = w, length = 1, age = 1135, Fraction = 0.0
bush: name = znk, length = 3, month = Month.DECEMBER, Fraction = 0.0
tree: name = hivbkohaprc, length = 11, age = 438, Fraction = 0.2727272727272727
tree: name = ltwlizeynbxlcmggsffa, length = 20, age = 1423, Fraction = 0.15
bush: name = zvnkucodlp, length = 10, month = Month.APRIL, Fraction = 0.2
bush: name = vovciaqk, length = 8, month = Month.JULY, Fraction = 0.375
tree: name = lfpkpwd, length = 7, age = 1789, Fraction = 0.0
bush: name = qvrbsrtmzpz, length = 11, month = Month.AUGUST, Fraction = 0.0
flower: name = krqvajbfwcdyzgrot, length = 17, type = Type.HOME, Fraction = 0.11764705882352941
tree: name = n, length = 1, age = 1797, Fraction = 0.0
flower: name = yizhewtoohrpqynji, length = 17, type = Type.GARDEN, Fraction = 0.29411764705882354
tree: name = tpmrqixajcrimsmbocug, length = 20, age = 793, Fraction = 0.25
bush: name = gmyjncr, length = 7, month = Month.NOVEMBER, Fraction = 0.0
bush: name = g, length = 1, month = Month.OCTOBER, Fraction = 0.0
tree: name = tzakalok, length = 8, age = 1922, Fraction = 0.375
flower: name = agvhxmuwphnfwfbhi, length = 17, type = Type.GARDEN, Fraction = 0.17647058823529413
